review,sentiment
"After hearing about George Orwell's prophetic masterpiece for all of my life, I'm now 37, but never having read the book, I am totally confused as to what I've just seen.<br /><br />I am very familiar with the concepts covered in the novel, as i'm sure most are, but only through hearsay and quotes. Without this limited knowledge this film would have been a complete mystery, and even with it I'm still no more educated about the story of 1984 than I was before I watched it.<br /><br />On the plus side...<br /><br />The cinematography is amazing, Hurt & Burton deliver fine performances and the overall feel of the movie is wonderfully grim and desolate. The prostitute scene was a fantastically dark piece of film making.<br /><br />Now for the down sides, and there are plenty...<br /><br />There is a war going on, (at least as far as the propaganda is concerned), but why & with who? Nothing is explained. There are a couple of names bandied about (Eurasia etc), but they mean nothing without explanation.<br /><br />Who is Winston? what does he do? where does he come from? where does he work? why is he changing news reports? why isn't he on the front line? Why doesn't he eat the food in the canteen? What is that drink he's drinking through the entire film? Why is he so weak & ill? Why isn't he brainwashed like the rest of them? What's the deal with his mother & sister? What happened to his father? A little back story would have been nice, no scrub that, essential for those like myself that haven't read the book. Without it, this is just a confusing and hard to follow art-house movie that constantly keeps you guessing at what is actually going on.<br /><br />The soundtrack was dis-jointed and badly edited and the constant chatter from the Big Brother screens swamps the dialogue in places making it even harder to work out whats going on. I accept that this may have been an artistic choice but it's very annoying all the same.<br /><br />Also, I know this has been mentioned before, but why all the nudity? It just seemed totally gratuitous and felt like it had been thrown in there to make up for the lack of any plot coverage.<br /><br />I personally can't abide the way Hollywood feels it has to explain story lines word for word these days. We are not all brainwashed simpletons, but this is a few steps too far the other way. I can only imagine that it totally relies on the fact that you've read the book because if this film really is the 'literal translation' that I've seen many people say, I would find it very hard to understand why 1984 is hailed as the classic it is.<br /><br />There's no denying that it was light years ahead of it's time and has pretty much predicted every change in our society to date, (maybe this has been a sort of bible to the powers that be?), but many sci-fi novelists have done the same without leaving gaping holes in the storyline.<br /><br />I guess I have to do what I should have done from the start and buy a copy of the book if i'm to make any sense out of this.<br /><br />All in all, very disappointed in something I've waited for years to watch.",negative
"I'm not sure why Spike Lee made this train wreck of a movie and conned poor Stevie Wonder into eternally pairing his beautiful music with this theatrical mess. I also resent the way he uses profanity as a part of the normal prose of professional Blacks. The abuse of his hold on ethnic movie goers is a shame. Scenes which seem to be contrived out the blue and have nothing to do with the theme or sub themes, play as if some college kid wrote this. I especially detest the ludicrous scene where the two leads are playfully sparring for no reason at all and the cops come and rough up Snipes. The overacting of the leads makes one feel as if Spike has no respect for his viewers or he has no clue what a movie is all about. The final scene appears to be thrown in to justify the use of a sledge hammer to tack a point in. This movie also supports the myth that all people of culture use the F-word in casual conversation. I am hoping he will realize that the rest of his movies are in the same pool as this one where he is not growing as a film maker. I think his union with Scorcesee in Clockers was a wise move. He should stick to making documentaries like the Four Little Colored Girls. Shock movies do not an Oscar make.",negative
"Medellin is a fabulous place to live, work, and study. I've been there twice, and never did I hear anything about guerrilla activities, paramilitaries taking tourists hostage, or anything of the sort. There are ""invisible police,"" but it is *not* a Big Brother system. There are just enough police so that they are visible in everyday life, but they do not hassle someone without good reasons.<br /><br />La Sierra is an interesting documentary in that the youths it depicts in the movie essentially become its characters. The directors of the movie carefully carve out plot lines among the daily actions of the inhabitants of La Sierra, and when a ""character"" dies, there is genuine pathos. It is difficult to imagine, however, that the three youths are all members of the Bloque Metro, a gang that used to terrorize La Sierra before the Colombian government began to restructure the country.<br /><br />La Sierra is not an accurate depiction of life in Colombia; there are, of course, things to be wary of such as petty crime, but when one considers pickpocketing happens in ""modern"" cities such as London, New York, or Tokyo, Colombia doesn't seem that different after all. Colombians are eagerly awaiting their chance to show to the world that the once war-torn country is now prospering more than ever.",negative
"Woeful and unnecessary sequel to a bonafide classic. An American Werewolf in London was, indisputably, a gem of a movie: humorous, demented, with just a dash of romance and so very, very British it made me want to stand up and sing God Save the Queen every time the movie ended. Then came this abomination. You know you are in real trouble when the leads are so utterly unlikeable you are glad when they are slaughtered, and actually start cheering for the lycanthropes. Tell you the truth, folks, I only got about half way through this CGIed travesty before losing the will to live and turning it off. Absolutely pitiful and a putrid waste of anyone's time.",negative
"How much can you really say about a condom with teeth? The plot was really out there, but it was something campy to see on a Friday night. The story has a lot of unexpected twists, and it's a great way to offend all you're conservative friends!",negative
"That's right, you heard me this movie is a freaking' ABOMINATION. First off, the band, who the hell is going to go see or listen to a band called ""THE NAKED BROTHERS BAND""?!?! Not only is the name terrible but so are the musicians, they can't even play anything! Also, the lead singer sounds more girly than Geddy Lee, and even more his voice is horrible! Not only are they terrible musicians but they're terrible actors. Led by a crappy director and thin plot, this has got to be the dumbest movie ever. I wish this website would let you use a vote of ZERO OR BELOW out of 10, because giving this filth a 1/10 is being WAY too generous.<br /><br />I'm not sure that you can call this a comedy film. If you're looking for comedy with music, go to that ""Weird Al"" Yankovic guy 'cause he does it a whole lot better than these untalented tweens.",negative
"Allegedly the ""true story"" of Juana de Castilla, the eldest daughter of the Catholic Queen Isabella (yes, the same who funded Columbus's expedition), the film charts the progress and degeneration of her morbid obsession with her husband, the Archduke Philip of Austria, known as ""The Handsome"" (and played in a rather unispired manner by Italian hunk Daniele Liotti, at his most buttery and beefy here). This is a groan-inducingly familiar story of late 15th c., early 16th c. intrigue, betrayal and bodice-ripping. It drips destructive lust from start to finish. But while La Reine Margot succeeds in making cruel sensuality and ruthless, cut-throat intrigue entertaining to watch, Juana La Loca just doesn't pull off. It just ends up feeling like a big-budgeted soap opera, with below-average, lazy or over-keen acting. Liotti looks positively bored and Pilar López de Ayala in the title role  though to be fair she may mature into a proper talent  just seems to be trying too hard, switching back and fourth from two-dimensional horny-looking to spoilt teenage hysterics all the way through. Some of the supporting cast are OK, with the exception of Manuela Arcuri, another Italian pin-up, voluptuous and beautiful but really no ""actress"" to speak of. I couldn't in fact bring myself to feel any concern towards any character, nor for that matter did I feel strongly in a negative way against any of the supposed villains. What a waste of a substantial film budget! This one, sadly, is just so rhetorical and deja-vu, nodding to other films in the genre rather than to its source material - history - for inspiration. It seems to me that such a fascinating and complex historic era deserved a far superior film-maker to evoke it.",negative
"Continuing in the string of ""stalker/slasher"" flicks in the vein of ""Wolf Creek,"" ""Hostel,"" ""Joy Ride,"" etc., comes ""Rest Stop."" The most unoriginal and useless one of them all.<br /><br />We start, reasonably promising, with the violent death of a pretty young girl in a filthy restroom.<br /><br />This is where our interest is lost. We, then, move to the cliché road trip couple, on their way to LA with their eyes on acting stardom. . . which, doing movies like this, they'll never achieve.<br /><br />From the sexual romp in the park, the couple drives, arguing all the way, to a deserted and disgusting rest area for the girl to use the bathroom. Harmless enough until she exits and finds her boyfriend missing and realizes she's being stalked by a lame version of ""Joy Ride""'s Rusty Nail. . . only driving around in Mater from ""Cars"".<br /><br />Honestly, if this had been directed/written/produced/acted by anyone else, it might've been fairly good. But no.<br /><br />Because then comes the ghost story. Yup. . . you guessed it. Plenty of ""oh, i'll help you, but wait, you're dead"" to ""wait is this stalker a person, monster, or ghost?"".<br /><br />But wait? Who comes to the rescue to save the girl's life and possibly the movie? That one Lawerence brother. Excellent. We're saved. (sarcasm) Oh wait, no we're not.<br /><br />You know. . . if you want to laugh off a pretty bad, or if you get free rentals like I do, give it a try.<br /><br />If anything, you'll learn how NOT to make a movie.<br /><br />-AP3-",negative
the director of this movie must have been mentally ill or even high ... when he accepted to direct this movie... ... i'd rather stare at my ceiling for 5 hours straight instead of being ... punished to watch that stupid movie ... my parents make me watch it as punishment...... ... Don't WATCH IT !!! the director of this movie must have been mentally ill or even high ... when he accepted to direct this movie... ... i'd rather stare at my ceiling for 5 hours straight instead of being ... punished to watch that stupid movie ... my parents make me watch it as punishment...... ... Don't WATCH IT !!! the director of this movie must have been mentally ill or even high ... when he accepted to direct this movie... ... i'd rather stare at my ceiling for 5 hours straight instead of being ... punished to watch that stupid movie ... my parents make me watch it as punishment...... ... Don't WATCH IT !!!,negative
"I do agree that though this story by Melville just might be unfilmable, this isn't even a credible try. To move the story into the 20th century just outrages the original story's intent and nature; possibly you might have been able to move it over to England, but it must be a period piece. Even our story narrator--the proprietor--tells it in a flashback, going back even further, somewhere around 1800. Towards the end of the 19th century, a strangely disobedient worker would be discarded without a thought. And the 20th century? Come on! Give me an expletive deleted break!!! Even around 1800, such behavior didn't work very well, in view of the ending. And the movie's ending? I don't know what it was, because I didn't watch the entire travesty--I had to stop. This was like setting ""Streetcar Named Desire"" in Elizabethan England.",negative
